--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed  |    Rel. |    Aki    |    fik    | Acc. |         Ei           Ek         |               Configurations                  |      Terms     |  Ji   Jk  | gi   gk |Type|     TP  | Line  |
   Wavelength |    Int. |    s^-1   |           |      |        (eV)         (eV)        |                                               |                |           |         |    |    Ref. | Ref.  |
    Air (nm)  |    (?)  |           |           |      |                                 |                                               |                |           |         |    |         |       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    351.054   |      80 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    355.064   |     120 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    355.852   |      80 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    356.616   |     130 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    357.364   |     130 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    357.404   |      80 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    357.480   |    330  |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    357.494   |         |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    357.869   |   19000 | 1.48e+08  | 3.66e-01  | B    |    0.0         -     3.463531   |          3d5.(6S).4s - 3d4.(5D).4s.4p.(3P*)   |  a 7S  - y 7P* |   3 - 4   |  7 - 9  |    |   1,4,5 |    1  |
    358.433   |    160  |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    359.349   |   17000 | 1.50e+08  | 2.91e-01  | B    |    0.0         -     3.449269   |          3d5.(6S).4s - 3d4.(5D).4s.4p.(3P*)   |  a 7S  - y 7P* |   3 - 3   |  7 - 7  |    |   1,4,5 |    1  |
    360.167   |     350 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    360.257   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    360.374   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    360.533   |   13000 | 1.62e+08  | 2.26e-01  | B    |    0.0         -     3.437942   |          3d5.(6S).4s - 3d4.(5D).4s.4p.(3P*)   |  a 7S  - y 7P* |   3 - 2   |  7 - 5  |    |   1,4,5 |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    360.840   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    360.948   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    361.005   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    361.261   |      70 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    361.564   |      85 | 5.1e+04   | 1.3e-04   | C    |    0.0         -     3.428127   |          3d5.(6S).4s - 3d4.(5D).4s.4p.(3P*)   |  a 7S  - z 7D* |   3 - 4   |  7 - 9  |    |       2 |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    363.284   |     130 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    363.659   |     350 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    363.980   |     630 | 1.8e+08   | 3.0e-01   | D    |    2.544106    -     5.949476   |          3d5.(4G).4s - 3d5.(4G).4p            |  a 5G  - u 5F* |   6 - 5   | 13 - 11 |    |      12 |    1  |
    364.039   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    364.147   |      70 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    364.183   |     220 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    364.616   |      45 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    364.853   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    364.900   |     220 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    365.391   |     170 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    365.626   |     220 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    366.284   |      45 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    366.321   |     130 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    366.598   |      45 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    366.664   |      95 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    366.803   |      55 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    367.632   |      65 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    367.982   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    368.169   |      19 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    368.555   |     120 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    368.680   |     130 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
