--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed  |  Rel. |    Aki    |    fik    | Acc. |          Ei           Ek           |                   Configurations                      |      Terms     |  Ji   Jk  | gi   gk |Type|      TP  | Line  |
     Wavelength |  Int. |    s^-1   |           |      |         (eV)         (eV)          |                                                       |                |           |         |    |     Ref. | Ref.  |
      Air (nm)  |  (?)  |           |           |      |                                    |                                                       |                |           |         |    |          |       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      351.3817  |   250 | 3.41e+06  | 6.32e-03  | B+   |    0.8589955    -     4.3864622    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - z 3G* |   5 - 5   | 11 - 11 |    |        3 |   56  |
      352.1261  |   300 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      352.6040  |   400 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      352.6166  |   100 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      352.6237  |    60 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      352.6381  |    60 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      352.6467  |    60 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      353.3199  |   100 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      353.6556  |   200 | 7.8e+07   | 2.0e-01   | C+   |    2.8755030    -     6.3802904    | 3p6.3d6.(5D).4s.4p.(3P*) - 3p6.3d6.(5D).4s. (6D).4d   |  z 7F* - e 7G  |   2 - 3   |  5 - 7  |    |       4n |   56  |
      354.1083  |   300 | 6.2e+07   | 1.4e-01   | C+   |    2.8512243    -     6.3515309    | 3p6.3d6.(5D).4s.4p.(3P*) - 3p6.3d6.(5D).4s. (6D).4d   |  z 7F* - e 7G  |   4 - 5   |  9 - 11 |    |       4n |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      354.2075  |   250 | 7.4e+07   | 1.8e-01   | C+   |    2.8653908    -     6.3647171    | 3p6.3d6.(5D).4s.4p.(3P*) - 3p6.3d6.(5D).4s. (6D).4d   |  z 7F* - e 7G  |   3 - 4   |  7 - 9  |    |       4n |   56  |
      355.3739  |    80 | 8.1e+07   | 1.3e-01   | C+   |    3.5732177    -     7.0610591    |          3p6.3d7.(2H).4s - 3p6.3d7.(2H).4p            |  a 1H  - v 1G* |   5 - 4   | 11 - 9  |    |       4n |   56  |
      355.4925  |   400 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      355.6878  |   200 | 4.4e+07   | 1.0e-01   | C+   |    2.8512243    -     6.3359873    | 3p6.3d6.(5D).4s.4p.(3P*) - 3p6.3d6.(5D).4s. (6D).4d   |  z 7F* - f 5F  |   4 - 5   |  9 - 11 |    |       4n |   56  |
      355.8515  |   400 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      356.5379  |  1000 | 3.8e+07   | 9.3e-02   | C+   |    0.9581568    -     4.4346121    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - z 3G* |   3 - 4   |  7 - 9  |    |       4n |   56  |
      357.0097  |  1200 | 6.77e+07  | 1.58e-01  | B+   |    0.9146016    -     4.3864622    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - z 3G* |   4 - 5   |  9 - 11 |    |        3 |   56  |
      357.025   |   800 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      357.1996  |   120 | 2.4e+07   | 4.6e-02   | C+   |    2.8325265    -     6.3025414    | 3p6.3d6.(5D).4s.4p.(3P*) - 3p6.3d6.(5D).4s. (6D).4d   |  z 7F* - e 7F  |   5 - 5   | 11 - 11 |    |       4n |   56  |
      357.3393  |   100 | 7.5e+06   | 2.0e-02   | C    |    3.3009216    -     6.7695797    |         3p6.3d7.(2D2).4s - 3p6.3d6.(3G).4s.4p.(3P*)   |  a 3D  - t 3G* |   2 - 3   |  5 - 7  |    |       5n |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      357.3829  |    60 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      357.3888  |    60 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      358.119   |  4000 | 1.02e+08  | 2.32e-01  | B+   |    0.8589955    -     4.320098     |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - z 5G* |   5 - 6   | 11 - 13 |    |        3 |   56  |
      358.2199  |   150 | 2.5e+07   | 4.1e-02   | C+   |    3.2367194    -     6.6968507    |          3p6.3d7.(2H).4s - 3p6.3d6.(3D).4s.4p.(3P*)   |  b 3H  - 5F*   |   6 - 5   | 13 - 11 |    |       4n |   56  |
      358.4660  |   150 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
